faa,name,lat,lon,alt,tz,dst,tzone
0V4,Brookneal/Campbell County Airport,37.141700744599994,-79.01640319820001,596,-5,A,America/New_York
19S,Sublette Municipal Airport,37.49140167,-100.8300018,2908,-5,A,NA
23M,Clarke County Airport,32.0848999023,-88.738899231,320,-6,A,America/Chicago
2A5,Causey Airport,35.911800384521484,-79.61759948730469,723,-5,A,America/New_York
2H0,Shelby County Airport,39.410400390599996,-88.8453979492,618,-6,A,America/Chicago
2K7,Neodesha Municipal Airport,37.43539810180664,-95.64610290527344,841,-5,A,NA
3AU,Augusta Municipal Airport,37.671600341796875,-97.0779037475586,1328,-5,A,NA
4A7,Atlanta South Regional Airport/Tara Field,33.389099,-84.332397,874,-5,A,America/New_York
4U9,Dell Flight Strip,44.7356987,-112.720001221,6007,-7,A,America/Denver
52A,Madison Municipal Airport,33.6120986938,-83.46040344240001,694,-5,A,America/New_York
57C,East Troy Municipal Airport,42.79719924926758,-88.37259674072266,860,-6,A,America/Chicago
5B2,Saratoga County Airport,43.05130005,-73.86119843,434,-5,A,America/New_York
6J4,Saluda County Airport,33.92679977416992,-81.79460144042969,555,-5,A,America/New_York
6S0,Big Timber Airport,45.806400299072266,-109.98100280761719,4492,-7,A,America/Denver
7W6,Hyde County Airport,35.562400817871094,-75.9552001953125,8,-5,A,America/New_York
87K,El Dorado Springs Memorial Airport,37.8567008972168,-93.99909973144531,931,-5,A,NA
A39,Ak-Chin Regional Airport,32.9908056,-111.9185278,1300,-7,A,America/Phoenix
A50,Colorado Springs East Airport,38.8744010925293,-104.41000366210938,6145,-7,A,America/Denver
AAF,Apalachicola Regional Airport,29.72750092,-85.02749634,20,-5,A,America/New_York
AAP,Andrau Airpark,29.722499847399998,-95.58830261230001,79,-6,A,America/Chicago
ABE,Lehigh Valley International Airport,40.652099609375,-75.44080352783203,393,-5,A,America/New_York
ABI,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791,-6,A,America/Chicago
ABL,Ambler Airport,67.106300354,-157.856994629,334,-9,A,America/Anchorage
ABQ,Albuquerque International Sunport Airport,35.040199279785156,-106.60900115966797,5355,-7,A,America/Denver
ABR,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,1302,-6,A,America/Chicago
ABY,Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,197,-5,A,America/New_York
ACK,Nantucket Memorial Airport,41.25310135,-70.06020355,47,-5,A,America/New_York
