tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N102AA,2007,Fixed wing single engine,AVIAT AIRCRAFT INC,A-1B,1,2,NA,Reciprocating
N103AA,2007,Fixed wing single engine,AVIAT AIRCRAFT INC,A-1B,1,2,NA,Reciprocating
N103SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N10575,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N105AA,1978,Fixed wing single engine,CESSNA,R182,1,4,111,Reciprocating
N105SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N106SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N107SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N108AA,1977,Weight-shift-control,COURTNEY GERALD L,ANTARES MA 32,1,2,NA,2 Cycle
N108SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N109AA,2007,Fixed wing single engine,AVIAT AIRCRAFT INC,A-1B,1,2,NA,Reciprocating
N109SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N110AA,2007,Fixed wing single engine,BIGELOW MICHAEL A,MARK III XTRA,1,2,NA,4 Cycle
N110SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N11107,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11109,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11164,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11165,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11181,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11184,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11189,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11192,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11193,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11194,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N111AA,0,Fixed wing multi engine,BEECH,F90,2,10,NA,Turbo-prop
N11206,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N112AA,1964,Fixed wing multi engine,AERO COMMANDER,500-B,2,7,172,Reciprocating
N113SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N114AA,1970,Fixed wing multi engine,BEECH,A60,2,6,150,Reciprocating
N114SY,2014,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N11535,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11536,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11539,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11544,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11547,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11548,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11551,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11565,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N116SY,2014,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N117AA,1990,Fixed wing multi engine,CANADAIR LTD,CL-600-2B16,2,22,NA,Turbo-fan
N117SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N118AA,NA,Fixed wing single engine,NORTH AMERICAN,NAVION,1,5,126,Reciprocating
N118SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N119SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N1200K,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1201P,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N120SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12109,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N12114,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N12116,1996,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N12125,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N12135,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12157,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12160,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12163,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12166,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12167,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12172,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12175,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12195,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N121SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12201,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12216,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12218,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12221,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12225,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12238,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N122AA,2006,Rotorcraft,ROBINSON HELICOPTER COMPANY,R44 II,1,4,NA,Reciprocating
N122SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N123AA,2006,Fixed wing single engine,HURT GEORGE,CHALLENGER I SPECIAL,1,1,NA,Reciprocating
N124AA,2014,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N124SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12540,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12552,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12563,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12564,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12567,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12569,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N125AA,2014,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N125SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12754,NA,Fixed wing multi engine,BOEING,737-700,2,149,NA,Turbo-fan
N127AA,2014,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N127SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N128SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12900,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12922,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12996,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N130SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N13110,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N13113,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N13118,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13138,1999,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N13161,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N131EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N131SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N13227,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N13248,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N132EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N132SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N133EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N133SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N134EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N134SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N13538,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13550,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13553,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13566,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N135EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N135SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N136EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N136SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
